movieId,title,release_year,rating
50,"Usual Suspects, The (1995)",1995.0,4.237745098039215
741,Ghost in the Shell (Kôkaku kidôtai) (1995),1995.0,4.148148148148148
215,Before Sunrise (1995),1995.0,4.041666666666667
110,Braveheart (1995),1995.0,4.031645569620253
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,4.0131578947368425
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,3.983050847457627
47,Seven (a.k.a. Se7en) (1995),1995.0,3.9753694581280787
175,Kids (1995),1995.0,3.975
6,Heat (1995),1995.0,3.946078431372549
16,Casino (1995),1995.0,3.926829268292683
